"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,200,"SAU","Saudi Arabia",1,"`Asir","Emirate|Mintaqah","Region",NA,"Asir|Aseer|Assyear"
2,200,"SAU","Saudi Arabia",2,"Al Bahah","Emirate|Mintaqah","Region",NA,"Baha"
3,200,"SAU","Saudi Arabia",3,"Al Hudud ash Shamaliyah","Emirate|Mintaqah","Region",NA,"Northern Frontier"
4,200,"SAU","Saudi Arabia",4,"Al Jawf","Emirate|Mintaqah","Region",NA,"JawfAl Joaf|Al-Jouf|Jowf"
5,200,"SAU","Saudi Arabia",5,"Al Madinah","Emirate|Mintaqah","Region",NA,"Madinah|Al Madinah al Munawwarah|Monwarah|Medina|M̩dine"
6,200,"SAU","Saudi Arabia",6,"Al Quassim","Emirate|Mintaqah","Region",NA,"Al Gassim|Gasim|Qaseem|Al Qasseem"
7,200,"SAU","Saudi Arabia",7,"Ar Riyad","Emirate|Mintaqah","Region",NA,"Riyad|Riad|Riyadh"
8,200,"SAU","Saudi Arabia",8,"Ash Sharqiyah","Emirate|Mintaqah","Region",NA,"Eastern Province"
9,200,"SAU","Saudi Arabia",9,"Ha'il","Emirate|Mintaqah","Region",NA,"Hail"
10,200,"SAU","Saudi Arabia",10,"Jizan","Emirate|Mintaqah","Region",NA,"Jazan|Qizan"
11,200,"SAU","Saudi Arabia",11,"Makkah","Emirate|Mintaqah","Region",NA,"La Meca|La Mecca|La Mecque|Makka|Makkah al-Mukarramah|Mecca|Meca|Mecka|Mekka"
12,200,"SAU","Saudi Arabia",12,"Najran","Emirate|Mintaqah","Region",NA,NA
13,200,"SAU","Saudi Arabia",13,"Tabuk","Emirate|Mintaqah","Region",NA,"Tabouk"
